id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
392192,Toronto,2009-04-25,PP Ojha,	Rogers Centre,1,Miami Marlins,Atlanta Braves,Miami Marlins,bat,Miami Marlins,runs,12,N,NA,HDPK Dharmasena,SJA Taufel
392194,Baltimore,2009-04-26,TM Dilshan,Oriole Park at Camden Yards,1,New York Mets,Washington Nationals,New York Mets,bat,Washington Nationals,wickets,6,N,NA,S Asnani,BG Jerling
392195,Kansas City,2009-04-26,KC Sangakkara,Kauffman Stadium,1,Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,bat,Philadelphia Phillies,runs,27,N,NA,M Erasmus,K Hariharan
392196,Toronto,2009-04-27,HH Gibbs,	Rogers Centre,1,San Francisco Giants,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,6,N,NA,IL Howell,TH Wijewardene
392197,Baltimore,2009-04-27,SR Tendulkar,Oriole Park at Camden Yards,1,Chicago Cubs,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,92,N,NA,BG Jerling,RB Tiffin
392198,Miami,2009-04-28,YK Pathan,loanDepot Park,1,Washington Nationals,Milwaukee Brewers,Washington Nationals,bat,Milwaukee Brewers,wickets,5,N,NA,GAV Baxter,RE Koertzen
392199,Toronto,2009-04-29,MV Boucher,	Rogers Centre,1,New York Mets,Chicago Cubs,Chicago Cubs,bat,New York Mets,wickets,5,N,NA,MR Benson,TH Wijewardene
392200,Toronto,2009-04-29,KC Sangakkara,	Rogers Centre,1,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,bat,Philadelphia Phillies,runs,3,N,NA,MR Benson,SL Shastri
392201,Miami,2009-04-30,DP Nannes,loanDepot Park,1,Miami Marlins,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,6,N,NA,GAV Baxter,AM Saheba
392202,Miami,2009-04-30,SK Raina,loanDepot Park,1,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,field,San Francisco Giants,runs,38,N,NA,GAV Baxter,RE Koertzen
392203,Toronto,2009-05-01,JP Duminy,	Rogers Centre,1,Chicago Cubs,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,9,N,NA,M Erasmus,SK Tarapore
392204,Toronto,2009-05-01,Yuvraj Singh,	Rogers Centre,1,New York Mets,Philadelphia Phillies,New York Mets,bat,New York Mets,runs,8,N,NA,HDPK Dharmasena,S Ravi
392205,Baltimore,2009-05-02,YK Pathan,Oriole Park at Camden Yards,1,Miami Marlins,Milwaukee Brewers,Miami Marlins,bat,Milwaukee Brewers,wickets,3,N,NA,S Asnani,BG Jerling
392206,Los Angeles,2009-05-02,SB Jakati,	Dodger Stadium,1,San Francisco Giants,Washington Nationals,Washington Nationals,field,San Francisco Giants,runs,18,N,NA,DJ Harper,RE Koertzen
392207,Baltimore,2009-05-03,DPMD Jayawardene,Oriole Park at Camden Yards,1,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,bat,Philadelphia Phillies,wickets,6,N,NA,S Asnani,MR Benson
392208,Los Angeles,2009-05-03,JH Kallis,	Dodger Stadium,1,New York Mets,Atlanta Braves,Atlanta Braves,bat,New York Mets,wickets,9,N,NA,RE Koertzen,TH Wijewardene
392209,Toronto,2009-05-04,MS Dhoni,	Rogers Centre,1,San Francisco Giants,Miami Marlins,San Francisco Giants,bat,San Francisco Giants,runs,78,N,NA,BR Doctrove,M Erasmus
392210,Toronto,2009-05-05,GC Smith,	Rogers Centre,1,Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,field,Milwaukee Brewers,runs,78,N,NA,SS Hazare,IL Howell
392211,Toronto,2009-05-05,G Gambhir,	Rogers Centre,1,Washington Nationals,Chicago Cubs,Chicago Cubs,bat,Washington Nationals,wickets,9,N,NA,GAV Baxter,IL Howell
392212,Miami,2009-05-06,RG Sharma,loanDepot Park,1,Miami Marlins,Atlanta Braves,Miami Marlins,bat,Miami Marlins,runs,19,N,NA,MR Benson,HDPK Dharmasena
392213,Miami,2009-05-07,A Singh,loanDepot Park,1,New York Mets,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,7,N,NA,K Hariharan,DJ Harper
392214,Miami,2009-05-07,ML Hayden,loanDepot Park,1,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,bat,San Francisco Giants,runs,12,N,D/L,DJ Harper,TH Wijewardene
392215,Toronto,2009-05-08,A Nehra,	Rogers Centre,1,Washington Nationals,Atlanta Braves,Atlanta Braves,bat,Washington Nationals,wickets,7,N,NA,M Erasmus,SK Tarapore
392216,Arlington,2009-05-09,DPMD Jayawardene,	Globe Life Field,1,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,3,N,NA,GAV Baxter,AM Saheba
392217,Arlington,2009-05-09,S Badrinath,	Globe Life Field,1,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,bat,San Francisco Giants,wickets,7,N,NA,GAV Baxter,HDPK Dharmasena
392218,Baltimore,2009-05-10,JP Duminy,Oriole Park at Camden Yards,1,New York Mets,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,16,N,NA,BR Doctrove,BG Jerling
392219,Los Angeles,2009-05-10,A Mishra,	Dodger Stadium,1,Washington Nationals,Chicago Cubs,Washington Nationals,field,Washington Nationals,wickets,7,N,NA,SL Shastri,RB Tiffin
392220,Arlington,2009-05-11,DR Smith,	Globe Life Field,1,Miami Marlins,Milwaukee Brewers,Miami Marlins,bat,Miami Marlins,runs,53,N,NA,GAV Baxter,HDPK Dharmasena
392221,Miami,2009-05-12,LRPL Taylor,loanDepot Park,1,New York Mets,Chicago Cubs,New York Mets,field,New York Mets,wickets,6,N,NA,M Erasmus,SS Hazare
392222,Miami,2009-05-12,Harbhajan Singh,loanDepot Park,1,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,bat,Atlanta Braves,wickets,8,N,NA,SS Hazare,RE Koertzen
392223,Toronto,2009-05-13,R Bhatia,	Rogers Centre,1,Miami Marlins,Washington Nationals,Miami Marlins,field,Washington Nationals,runs,12,N,NA,DJ Harper,SL Shastri
392224,Toronto,2009-05-14,LRPL Taylor,	Rogers Centre,1,New York Mets,San Francisco Giants,San Francisco Giants,bat,New York Mets,wickets,2,N,NA,BR Doctrove,DJ Harper
392225,Toronto,2009-05-14,Ronald Acuña Jr.,	Rogers Centre,1,Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers,Hit,Milwaukee Brewers,runs,2,N,NA,BR Doctrove,DJ Harper
392226,Kansas City,2009-05-15,B Lee,Kauffman Stadium,1,Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,HDPK Dharmasena,IL Howell
392227,Baltimore,2009-05-16,ML Hayden,Oriole Park at Camden Yards,1,San Francisco Giants,Atlanta Braves,Atlanta Braves,bat,San Francisco Giants,wickets,7,N,NA,SK Tarapore,SJA Taufel
392228,Los Angeles,2009-05-16,RG Sharma,	Dodger Stadium,1,Miami Marlins,Chicago Cubs,Miami Marlins,field,Miami Marlins,wickets,6,N,NA,RE Koertzen,S Ravi
392229,Los Angeles,2009-05-17,Yuvraj Singh,	Dodger Stadium,1,Miami Marlins,Philadelphia Phillies,Miami Marlins,field,Philadelphia Phillies,runs,1,N,NA,S Ravi,RB Tiffin
392230,Kansas City,2009-05-17,AB de Villiers,Kauffman Stadium,1,Washington Nationals,Milwaukee Brewers,Washington Nationals,bat,Washington Nationals,runs,14,N,NA,SS Hazare,IL Howell
392231,Miami,2009-05-18,BJ Hodge,loanDepot Park,1,San Francisco Giants,Chicago Cubs,San Francisco Giants,bat,Chicago Cubs,wickets,7,N,NA,SJA Taufel,RB Tiffin
392232,Los Angeles,2009-05-19,JH Kallis,	Dodger Stadium,1,New York Mets,Washington Nationals,Washington Nationals,bat,New York Mets,wickets,7,N,NA,IL Howell,RB Tiffin
392233,Toronto,2009-05-20,LR Shukla,	Rogers Centre,1,Chicago Cubs,Milwaukee Brewers,Chicago Cubs,field,Chicago Cubs,wickets,4,N,NA,BG Jerling,SJA Taufel
392234,Toronto,2009-05-20,M Muralitharan,	Rogers Centre,1,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,bat,San Francisco Giants,runs,24,N,NA,BG Jerling,SJA Taufel
392235,Miami,2009-05-21,V Sehwag,loanDepot Park,1,Washington Nationals,Atlanta Braves,Washington Nationals,field,Washington Nationals,wickets,4,N,NA,IL Howell,S Ravi
392236,Miami,2009-05-21,MK Pandey,loanDepot Park,1,New York Mets,Miami Marlins,New York Mets,bat,New York Mets,runs,12,N,NA,IL Howell,S Ravi
392237,Miami,2009-05-22,AC Gilchrist,loanDepot Park,1,Washington Nationals,Miami Marlins,Miami Marlins,field,Miami Marlins,wickets,6,N,NA,BR Doctrove,DJ Harper
392238,Los Angeles,2009-05-23,MK Pandey,	Dodger Stadium,1,New York Mets,San Francisco Giants,New York Mets,field,New York Mets,wickets,6,N,NA,RE Koertzen,SJA Taufel
392239,Los Angeles,2009-05-24,A Kumble,	Dodger Stadium,1,New York Mets,Miami Marlins,New York Mets,field,Miami Marlins,runs,6,N,NA,RE Koertzen,SJA Taufel
419106,Cumberland,2010-03-12,AD Mathews,Truist Park,0,Miami Marlins,Chicago Cubs,Miami Marlins,field,Chicago Cubs,runs,11,N,NA,RE Koertzen,RB Tiffin
419107,Cumberland,2010-03-13,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Milwaukee Brewers,Atlanta Braves,Hit,Atlanta Braves,runs,4,N,NA,RE Koertzen,RB Tiffin
419108,Philadelphia,2010-03-13,G Gambhir,Citizens Bank Park,0,Philadelphia Phillies,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,5,N,NA,BR Doctrove,S Ravi
419109,Chicago,2010-03-14,MK Tiwary,Guaranteed Rate Field,0,Chicago Cubs,New York Mets,Chicago Cubs,field,Chicago Cubs,wickets,7,N,NA,HDPK Dharmasena,AM Saheba
419110,Detroit ,2010-03-14,WPUJC Vaas,Comerica Park,0,San Francisco Giants,Miami Marlins,Miami Marlins,bat,Miami Marlins,runs,31,N,NA,K Hariharan,DJ Harper
419111,"St. Louis, Missouri",2010-03-15,V Sehwag,	Busch Stadium,0,Milwaukee Brewers,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,6,N,NA,BG Jerling,RE Koertzen
419112,"Queens, New York",2010-03-16,JH Kallis,Citi Field,0,New York Mets,Philadelphia Phillies,Philadelphia Phillies,bat,New York Mets,wickets,8,N,NA,S Das,DJ Harper
419113,Chicago,2010-03-16,MS Dhoni,Guaranteed Rate Field,0,Chicago Cubs,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,55,N,NA,HDPK Dharmasena,AM Saheba
419114,Washington DC,2010-03-17,SR Tendulkar,Nationals Park,0,Washington Nationals,Atlanta Braves,Washington Nationals,field,Atlanta Braves,runs,98,N,NA,BR Doctrove,SK Tarapore
419115,"Queens, New York",2010-03-18,JH Kallis,Citi Field,0,New York Mets,Milwaukee Brewers,New York Mets,field,New York Mets,wickets,10,N,NA,K Hariharan,DJ Harper
419116,Washington DC,2010-03-19,ML Hayden,Nationals Park,0,Washington Nationals,San Francisco Giants,Washington Nationals,bat,San Francisco Giants,wickets,5,N,NA,BR Doctrove,SK Tarapore
419117,Detroit ,2010-03-19,A Symonds,Comerica Park,0,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,field,Miami Marlins,runs,6,N,NA,BF Bowden,M Erasmus
419118,"St. Louis, Missouri",2010-03-20,AA Jhunjhunwala,	Busch Stadium,0,Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,bat,Milwaukee Brewers,runs,34,N,NA,RE Koertzen,RB Tiffin
419119,Cumberland,2010-03-20,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,New York Mets,Atlanta Braves,Hit,New York Mets,wickets,7,N,NA,HDPK Dharmasena,SS Hazare
419120,Detroit ,2010-03-21,A Symonds,Comerica Park,0,Miami Marlins,Washington Nationals,Miami Marlins,bat,Miami Marlins,runs,10,N,NA,BF Bowden,M Erasmus
419121,Detroit ,2010-03-21,J Theron,Comerica Park,0,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,field,Philadelphia Phillies,tie,NA,Y,NA,K Hariharan,DJ Harper
419122,Cumberland,2010-03-22,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,Chicago Cubs,Chicago Cubs,Hit,Atlanta Braves,wickets,7,N,NA,SS Hazare,SJA Taufel
419123,"Queens, New York",2010-03-23,RV Uthappa,Citi Field,0,New York Mets,San Francisco Giants,San Francisco Giants,field,New York Mets,runs,36,N,NA,RE Koertzen,RB Tiffin
419124,Philadelphia,2010-03-24,AC Voges,Citizens Bank Park,0,Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,field,Milwaukee Brewers,runs,31,N,NA,BR Doctrove,SK Tarapore
419125,Cumberland,2010-03-25,Ronald Acuña Jr.,Truist Park,0,Atlanta Braves,San Francisco Giants,Atlanta Braves,Hit,Atlanta Braves,wickets,5,N,NA,BF Bowden,AM Saheba
419126,"St. Louis, Missouri",2010-03-26,YK Pathan,	Busch Stadium,0,Milwaukee Brewers,Miami Marlins,Miami Marlins,bat,Milwaukee Brewers,wickets,8,N,NA,HDPK Dharmasena,SJA Taufel
419127,Philadelphia,2010-03-27,MK Tiwary,Citizens Bank Park,0,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,bat,Chicago Cubs,runs,39,N,NA,BR Doctrove,S Ravi
419128,"Queens, New York",2010-03-25,KM Jadhav,Citi Field,0,New York Mets,Washington Nationals,New York Mets,field,Washington Nationals,runs,17,N,NA,BG Jerling,RE Koertzen
419129,"St. Louis, Missouri",2010-03-28,NV Ojha,	Busch Stadium,0,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,bat,Milwaukee Brewers,runs,17,N,NA,SS Hazare,SJA Taufel
419130,Cumberland,2010-03-28,Harbhajan Singh,Truist Park,0,Miami Marlins,Atlanta Braves,Miami Marlins,field,Atlanta Braves,runs,41,N,NA,S Das,K Hariharan
